query_id	query	description	engine	url	rank	score
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	"https://www.allrecipes.com/article/5-pro-tips-making-best-lasagna/#:~:text=%20How%20to%20Make%20the%20Best%20Lasagna%20,F%20for%20an%20hour%29%2C%20then%20remove...%20More%20"	1	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.allrecipes.com/article/5-pro-tips-making-best-lasagna/	2	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.tasteofhome.com/collection/how-to-make-the-best-lasagna-recipe-ever/	3	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.allrecipes.com/recipe/23600/worlds-best-lasagna/	4	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://thestayathomechef.com/amazing-lasagna-recipe/	5	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.lacucinaitaliana.com/italian-food/italian-dishes/lasagna-the-original-recipe	6	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.delish.com/cooking/recipe-ideas/recipes/a51337/classic-lasagna-recipe/	7	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.bbcgoodfood.com/recipes/classic-lasagne-0	8	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.bbc.co.uk/food/recipes/lasagne_22392	9	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BING	https://www.bbcgoodfood.com/recipes/easiest-ever-lasagne	10	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=l-BtL7VGaajg3VfCtGqjfoW_xzdkoQ7nXOWiz2YO0JhwYQmclDu1d84OythTnyJUoEJ1SXInod6p0eB3fk7f2M7VkyFKYzaSBcrtZI3kKRx9EdPZKb4-mXsul0JfiIUy	1	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=5ODR1SDPkxdPQvyM1TnYJ2zeSAKOUiNfv8myTXddIRTKvDoj0srvXKTeg1xePu9vy4HWDsLlNcq2IQjpBRL9ra	2	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=rFirFVwrgOxVaMJjwEQ9AxeGQaVxXgLdQjPNckBlo_TfZTFcJ78T96M4tG03p6CPXGgmGVIlSlp872kfjJMDB3O6kj_voKPEx4ZxUE_SRdqOygvT5Ixl12_OLvcyO63a	3	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=Gl1G-Z0GAMongzFxhABaTI-2BhlcR4JTa7Z1FtOXQtczT-Gws6AsZ6160_B7PQH27yAbXtu_853Nz2sHJ29SIqvneAKUbJj9WLj9IA-EnQZb5xbxAz5-r1PiONtsvnhM	4	2
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=B4sLxcek5Fjop8P-LWmhrnvesaqTDNRJfMLMvsQ_k1ecLPg0V5elOHHWLXu10B9Us9Qdo291HfMUyVruqGxdVaoTK-MB4AAdC3HurV0hcvm	5	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=s7KLta8tWdr-zOidVf-iBuRQYMkaU1Lw5flUbU87sC_iNXN07D5QZ6Fhr6EobncJB7HLID9NUCxajmT7i8LX0Rk68VGWraCJxoxBmNiI-ColQcVYMsijhTo9xK_FEHZV	6	3
15	best lasagna recipe how to make	I want to make delicious lasagna	BAIDU	http://www.baidu.com/link?url=y0H4iENze7RHpW0n3Y5swzke-JJrvttylqzoTcpF6yiU1zBn-XEouFSHTiuTj0FhklCT0vdcesxACfQa0M3h9DYnc2nBoXszItd6F2_Ibqe	7	3
