query text,query description,url,docID,rank,rankScore
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","https://www.in.tum.de/en/research/professors/","1","17","11.380"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","https://www.in.tum.de/startseite/","2","20","0.000"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","https://www.in.tum.de/en/for-prospective-students/masters-programs/informatics/","3","3","23.499"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","https://www.professoren.tum.de/en/","4","10","18.087"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","https://www.ar.tum.de/en/professorships/integrated-building-technologies/architectural-informatics/","5","13","14.722"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","https://en.wikipedia.org/wiki/TUM_Department_of_Informatics","6","5","20.655"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","https://www.tum.de/en/","7","19","6.603"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","https://en.wikipedia.org/wiki/Technical_University_of_Munich","8","7","20.340"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","https://www.in.tum.de/en/for-prospective-students/masters-programs/informatics/","9","4","23.499"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","https://en.wikipedia.org/wiki/Technical_University_of_Munich","10","6","20.340"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","http://www.baidu.com/link?url=WZ8FNn9lZsz1AA6enWiqqmCahIqC12g2XQ0SF9MECQ2FqD9m93eMwyF1b7Lyh9k_3kaNKd1qhrw9YOLO0sx0R_","11","1","35.594"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","http://www.baidu.com/link?url=XRecyS_3Rt4YDkhkPn63Osb5GOeAFlqi_D_Fyw5qw8XFmH7EqnzCE3zv3Q3EgM_AZ8T_1gCQQWXfqtqqnc3bmK","12","2","29.441"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","http://www.baidu.com/link?url=C0v080x7M22dKBdN-n9ZiP-zy5QW_zxxNjrV_9en-CxsBAEt4x_q9j4fpW5I55--","13","11","15.902"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","http://www.baidu.com/link?url=eyBW2JdPWUvSYXxk4IP6X-CV1W4BKvQqry85IB3Www3xeUrk0go-0_-xYc5ucCfM2tg2qPWLCaGdvB7RPGGhU_","14","14","13.490"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","http://www.baidu.com/link?url=laUH5Tk7CyWkP-k-g81TwhDYB8GH7fH1CCsgRq93WRg3Z89HTYTLmWXlPt4elOHyk4a2lIUCgPzhaTItkNtTD1yCgpDJrbCQDaUQvgBKDR4CyVwFgkSh_UEVuQJS5Ezg","15","16","12.441"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","http://www.baidu.com/link?url=Tn22y1FPChyS6opE5FHKFFDArqGQgNHgh5W2ffpOXpESeXo2kaHNbMabUIWUy-AiLi6HAg_VcOAkFqdz8nduAoGfH6hkb-wr44pjmUzIRkalT9CTTnPDyt-ijlXVvAqItZ2UPbmFlKueX5FAhEjiVK","16","18","7.841"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","http://www.baidu.com/link?url=SmjXUfaPfAUt0X7DHPbFVwO3v2dVi0heu1wz0b0b2yJOBjvVLILos4fBiZGTsBYhMq2W-W310mVG94ZwFLRA8vougFgvJtrshsfC3sjajz3","17","15","12.667"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","http://www.baidu.com/link?url=kdY07LPcqiUUZwjzN6cm78KTILDuGlrIytu-LK1b8pNSq-fguHgAbup0Gx3j782Bku7u14urK8cUcrFaPU1NixcvqNzPUp48iBPdKWBJf5QW9TH0X5wLiFWK6p0zAdyWgDD5HGViVrFbjPgRRnSty_","18","12","15.481"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","http://www.baidu.com/link?url=Xo9G7RkVAsCY4urOux2c_8Zi8hy9XfkiK2oD1ezjiIuSf9ABBjqSADjTtafiEfg06KcVpjjm7icpPCHVl4mdJ_","19","9","18.349"
"Technical University of Munich Informatics Professors","Want to identify professors and their research focus for potential master thesis","http://www.baidu.com/link?url=U8T0zN3O9H1P4fAZtKsM_H09SvakjKVhUDT6rpgSNqLrgiHU6c-qvG4T8uI-994frhLkiLViG1VyT1KTCwUzV3bsEl9JxriZQuZfFynuiC6NUBYeZV8uG3B_WAeDCzrAcaqWGbtMRNGJtqef0mPfra","20","8","19.000"
