query text,query description,url,docID,rank,rankScore
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","https://www.imdb.com/list/ls000033724/","1","20","1.357"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","https://www.rottentomatoes.com/top-tv/","2","4","5.236"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","https://www.imdb.com/search/title/?title_type=tv_series","3","14","2.242"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","https://editorial.rottentomatoes.com/guide/best-netflix-shows-and-movies-to-binge-watch-now/","4","16","1.437"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","https://www.msn.com/en-us/tv/gallery/the-35-best-tv-shows-you-can-binge-watch-from-beginning-to-end-ranked/ss-BB12DavH","5","10","2.838"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","https://www.ranker.com/list/best-tv-shows-to-binge-watch/ranker-tv","6","1","8.469"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","https://wealthygorilla.com/best-netflix-series/","7","9","3.548"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","https://www.vulture.com/article/best-tv-shows-on-netflix.html","8","18","1.389"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","https://wealthygorilla.com/best-tv-shows/","9","11","2.243"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","https://www.wired.com/story/fall-2020-tv-watching-guide/","10","7","3.738"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","http://www.sogou.com/link?url=hedJjaC291MLHyj7nmKtsyh_wf3iAe_Mfbt4pR4sHozfL1FLJXp8QA..&query=tv+series+to+watch","11","19","1.357"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","http://www.sogou.com/link?url=hedJjaC291MlT2qHv73SiRWRO5Vi54uh8ly3RR74yZbdXm3Rux1v9A..&query=tv+series+to+watch","12","5","5.220"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","https://www.imdb.com/search/title/?title_type=tv_series","13","12","2.242"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","http://www.sogou.com/link?url=DSOYnZeCC_qhpUonF0to4RGSx-BoKsGOfTr61eMb00gM830W7-30xpVc119MusGhkW0eLyOayog.&query=tv+series+to+watch","14","13","2.242"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","http://www.sogou.com/link?url=IPi47MzqYJ4RjGQMYoZGnIn5dHNusG_Z8RTqFD5EH9aZs8DwSg7FhrLvNJFWL-b0aGL0QFZje268SezuCF_FoW4YafSeot-j&query=tv+series+to+watch","15","17","1.418"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","http://www.sogou.com/link?url=DSOYnZeCC_rw8XjKNtoUmstfbwpeN7_96SWBp3DxrSeyDX6NwPGiMYZOethqDoE0_aEjk3OiXwP6-kDjJlSwEQ..&query=tv+series+to+watch","16","6","4.317"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","http://www.sogou.com/link?url=hedJjaC291PMNRZhErqWTmTLK-twWRR0ZqJTbPkPQ55LIFVkJwX8zSChBwy4VyS-uqCKZQNeGhasLEZ9NEjCJ4h40O3LW5u8DkMLueC-BOj77xDHT7nNGiUu1pc7yrhjj5rJg2u_OYg.&query=tv+series+to+watch","17","8","3.640"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","http://www.sogou.com/link?url=DSOYnZeCC_qKBd9VbCI8rxbGp4ySM5pI_0Zcj1fIaMmsLEZ9NEjCJz4jLq3Yc_IBIkdIYKxur0kH5-Bl-dgtk_Rce3om4Ggm&query=tv+series+to+watch","18","2","8.456"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","http://www.sogou.com/link?url=hedJjaC291O92xOsxvihMWtm8aDuhXoCKpJy9H37Ts8ivGgz6SSxu1gmdLpatpTDYe62hlujG9xqQOQxd7LCe96e4gKGZOoGtSSnmCpdyMMfaEitCOmlAG4YafSeot-j&query=tv+series+to+watch","19","15","1.846"
"tv series to watch","want to find recent and popular tv series to watch with family and friends.","http://www.sogou.com/link?url=DSOYnZeCC_o4bR6LC7tDfhgfSjRk3qklAPJ2PFtiHCw.&query=tv+series+to+watch","20","3","5.740"
